name,business_type,website,lat,lon,address_line1,address_line2,postcode
360 Play Basildon,Restaurant,,51.585137,0.462458,,Basildon,SS14 3WB
All Seasons Restaurant,Restaurant,,51.5904426574707,0.527109980583191,Alton Garden Centre,Essex,SS12 9HZ
Aramark @ Costa Cafe Education Centre,Restaurant,,51.5576972961426,0.450545012950897,Education Centre Basildon University Hospital,Essex,SS16 5NL
Aramark @ Costa Cardio small unit,Restaurant,,51.557697,0.450545,,Nethermayne Basildon Essex,SS16 5NL
Aramark Limited,Restaurant,,51.584084,0.451777,Argos Warehouse,Essex,SS14 3FF
Aroma Restaurant,Restaurant,,51.585137,0.462459,Festival Leisure Park,Essex.,SS14 3WB
Asda Cafe,Restaurant,,51.569273,0.46075,Asda,Essex,SS14 1AE
Ask Italian,Restaurant,,51.625584,0.417242,,Essex,CM12 9AS
Barleylands Social Club,Pub,,51.586173,0.444311,,Essex,SS15 4BJ
Basil Spice,Restaurant,,51.585592,0.489031,Unit 2 Adams Business Centre,Essex,SS14 3JF
Basildon & Pitsea Cricket Club,Pub,,51.572663,0.487228,The ClubhouseMopsies Park,Essex,SS14 1PF
Basildon Disabled Sports Assoc,Restaurant,,51.56661,0.474444,Swan Mead Centre,Basildon,SS16 4AG
Basildon Golf Centre,Restaurant,,51.559032,0.458898,,Essex,SS16 5JP
Basildon Rugby Football Club,Pub,,51.586077,0.476787,,Essex,SS14 3AW
Basildon Sports & Leisure Club,Pub,,51.589844,0.484038,,Essex,SS14 3AP
BASILDON TURKISH GRILL,Restaurant,,51.5781143,0.4732062,,Essex,SS14 2HB
Basildon United Football Club,Pub,,51.586067199707,0.476799994707108,Basildon United Football Club,Essex,SS14 3AW
Baxterstorey Catering Services,Restaurant,,51.579401,0.440887,I F D S House,Basildon,SS15 5FS
Beans and Bagels,Restaurant,,51.6134099,0.519889,1a Willowdale Centre,Essex,SS12 0RA
Beehive,Pub,,51.5688392,0.4566562,The Beehive Public House,Essex,SS14 1DQ
Bekash Restaurant,Restaurant,,51.599315,0.513537,Bekash Restaurant,Essex,SS12 0PZ
Bella Ischia LTD,Restaurant,,51.626413,0.418066,,Essex,CM12 9AX
Bella Italia / Super Nonna,Restaurant,,51.585137,0.462458,Unit 2,Essex,SS14 3WB
Benbow Club,Pub,,51.56876,0.530525,,PitseaEssex.,SS13 2HL
Best Parties Ever,Pub,,51.601178,0.445405,Barleylands Farm,Essex,CM11 2UD
Billericay Constitutional Club,Pub,,51.627905,0.418941,,Essex,CM12 9BE
Billericay Cricket Club,Pub,,51.622508,0.400637,The Toby Howe Cricket Ground,Essex.,CM12 9SA
Billericay Lawn Tennis Club,Restaurant,,51.6224899291992,0.400676995515823,Billericay Lawn Tennis Club,Essex,CM12 9SA
Birdies 2,Restaurant,,51.6063501,0.5393774,Unit 8,Essex,SS11 8DD
Bowers and Pitsea FC Ltd,Pub,,51.5726189,0.51637295,,Basildon,SS13 2BE
Brew81 Ltd,Restaurant,,51.6018059,0.545443,,Essex,SS11 8YB
Britannia Fish and Chips,Restaurant,,51.611939,0.519984,,Essex,SS12 9AQ
Brown Sugar,Restaurant,,51.626413,0.418066,,Essex,CM12 9AX
Burger King,Restaurant,,51.569879,0.461447,,Basildon,SS14 1EB
Burger King,Restaurant,,51.5811614990234,0.443536013364792,Burger King (Uk) Ltd Pipps Hill Retail Park,Essex,SS14 3AF
Burger King,Restaurant,,,,Unit 1 Westgate Park,Essex,SS14 1WP
Burnt Mills Cafe,Restaurant,,51.5851633,0.5130449,Burnt Mills Cafe,Essex,SS13 1EG
Buzz Bingo,Restaurant,,51.568607,0.454725,Gala Social Club,Essex,SS14 1DH
Buzz Kitchen,Restaurant,,51.5851299,0.4624861,Unit 12 Festival Leisure Park,Essex,SS14 3WB
Cafe 89,Restaurant,,51.566324,0.504039,The Range,Basildon,SS13 3DU
Cafe Air,Restaurant,,51.6246756,0.4165275,,Essex,CM12 9AJ
